,Date,Observer,Location,Transect,StandardizedLocationName,LocalSurveyName,names,START.newspotnames,END.newspotnames,cmc_comments,answers,Start.Time..24h.,Start.LAT,Start.LON,Start.Cloud,Start.Wind,End.Time..24h.,End.LAT,End.LON,End.Cloud,End.Wind,Notes,Species.before,Species.After
103,4/23/2014,Josh,Tallgrass Prairie,E,NA,NA,103,TGPP-E1,TGPP-E2,"103start is probably error, almost south to okc.",Typo in latitude.,9:28,36.80753,-96.46574,30,10 to 15,10:15,36.80721,-96.44808,20,15 to 20,,,
104,4/23/2014,Josh,Tallgrass Prairie,F,NA,NA,104,TGPP-F1,TGPP-F2,,,7:12,36.81426,-96.43807,20,0 to 5,8:47,36.81476,-96.47477,30,5 to 10,,,
105,5/7/2014,Josh,WMWR,C,NA,NA,105,WMWR-C end (JGK),WMWR-C start (JGK),,,11:02,34.70453,-98.70432,0,15 to 20,12:02,34.689167,-98.705,0,15 to 20,,,
106,5/16/2014,Kristen,Cimmaron Bluffs,C,NA,NA,106,CIMB-C2,CIMB-C1,start point half-way between c¡¯s start and end.  Double observer?,Likely rounded to 2 decimal places,10:35,36.81493,-99.34182,30,10 to 15,11:45,36.81494,-99.34183,10,10 to 15,,,
107,5/16/2014,Kristen,Cimmaron Bluffs,F,NA,NA,107,CIMB-F2,CIMB-F1,use points from other double observer?,"Yes, use data from Josh",7:51,36.84125,-99.33715,40,0 to 5,10:10,36.81688,-99.3371,20,5 to 10,,,
108,5/17/2014,Kristen,Cimmaron Hills,D,NA,NA,108,CIMH-D1,CIMH-D2,double observer?  Not quite to d2.,"Yes, use data from JDR. Lat/lon had been rounded to 2 decimal places",8:06,36.93104,-99.3995,100,0 to 5,10:42,36.94406,-99.37391,100,0 to 5,FOGGY AND HUMID,"EAKI, LHSH, WESA, WIPH","EAME, GRSP, LBHE"
109,6/27/2014,Kristen,Rita Blanca NG,A,NA,NA,109,RBNG-A1,RBNG-A2,,,7:16,36.53054,-102.71448,90,5 to 10,8:25,36.50902,-102.71452,100,5 to 10,,,
110,6/27/2014,Kristen,Rita Blanca NG,B,NA,NA,110,RBNG-B1,RBNG-B2,,,8:49,36.50899,-102.70661,100,10 to 15,10:01,36.53046,-102.70612,100,5 to 10,,,
111,6/5/2014,Kristen,Tallgrass Prairie,G,NA,NA,111,TGPP-G1,NA,"111start is too far north of G, and no end point","Typo in latitude. Probably can junk because of storm, but flag for possible inclusion (will need to estimate how much ground she covered).",6:28,36.82893,-96.48312,80,5 to 10,7:23,NA,NA,,,stopped due to storm,,
112,6/3/2013,MAB,Cimarron Bluffs WMA,A,NA,NA,112,CIMB-A1,CIMB-A2,,,7:07,36.79987,-99.33665,55,0-5,8:08,36.79994,-99.31897,40,5 to 10,,,
113,6/3/2013,MAB,Cimarron Bluffs WMA,B,NA,NA,113,CIMB-B1,CIMB-B2,,,8:29,36.80356,-99.32545,50,5 to 15,9:55,36.82752,-99.32589,20,10 to 15,,,
114,6/1/2013,MAB,Coffey Ranch,B,NA,NA,114,COFF-B1,COFF-B2,cloud of points near here.,confirmed,12:23,33.93393,-97.22703,100,10 to 15,12:57,33.92501,-97.22289,95,10 to 15,,,
115,6/1/2013,MAB,Coffey Ranch,C,NA,NA,115,COFF-C1,COFF-C2,cloud of points near here.,confirmed,13:45,33.91885,-97.21186,75,10 to 15,14:35,33.93423,-97.2166,45,0-5,,,
116,5/29/2013,MAB,Hackberry Flats,C1,NA,NA,116,HACK-C start (MAB),HACK-C end (MAB),"H end and C start are very close together, so can be C start?","These transects were only separated by 400m and ran parallel. We could consider dropping one, or trying to account for detectability overlap.",7:05,34.28337,-98.96057,100,0-5,7:55,34.26899,-98.96511,100,5 to 10,,,
117,5/29/2013,MAB,Hackberry Flats,C2,NA,NA,117,HACK-H start (MAB),HACK-H end (MAB),,,8:14,34.26889,-98.96026,100,10 to 15,9:02,34.28342,-98.96027,90,10 to 15,,,
118,6/6/2013,MAB,Optima Lake NWR,A,NA,NA,118,OPTM-A1,OPTM-A2,,,17:49,36.63807,-101.20882,8,0-5,19:24,36.62152,-101.2375,5,0-5,,,
119,6/7/2013,MAB,Packsaddle WMA,E,NA,NA,119,PACK-E1,PACK-E2,"A-1 is just below E1, can switch names?","No, transects run in opposite direction. With the ~200m offset, these could be considered independent transects.",8:30,35.88821,-99.68826,10,0-5,9:23,35.88934,-99.69949,10,0-5,,,
120,6/7/2013,MAB,Packsaddle WMA,F,NA,NA,120,PACK-F1,PACK-F2,"pack b2 is just below F2,can switch names?","No, transects run in opposite direction. With the ~200m offset, these could be considered independent transects.",9:47,35.89556,-99.69864,5,0-5,10:14,35.89591,-99.68867,5,0-5,,,
121,6/5/2013,MAB,Rita Blanca WMA,A,NA,NA,121,RBNG-A1,RBNG-A2,,,9:06,36.53053,-102.71445,60,15-25,10:18,36.50899,-102.71449,97,15-25,,,
122,6/5/2013,MAB,Rita Blanca WMA,B,NA,NA,122,RBNG-B1,RBNG-B2,,,10:45,36.50898,-102.70658,97,15-25,11:49,36.5306,-102.70649,100,15-20,,,
123,5/27/2013,MAB,WMWR,A,NA,NA,123,WMWR-A start (MAB),WMWR-A end (MAB),perpendicular to A.  Moved end point to F on the same day.  Got end point from basecamp.,"The transects A & F were done back to back. Did she neglect to distinguish these breaks on the datasheets? In any event, the transects were only 400m apart, so we'll need to watch for detectability overlap.",6:34,34.69069,-98.70189,20,5 to 10,7:11,34.69064,-98.68995,,,,,
,5/27/2013,MAB,WMWR,F,NA,NA,,WMWR-F start (MAB),WMWR-F end (MAB),"This entry created because two transects were done back to back on datasheet but entered as simply ""A"".  Used start point from datasheet and end point.",,7:24,34.69429,-98.69103,,,7:48,34.69429,-98.70172,65,10 to 15,,,"TUTI, BEWR, PABU"
124,6/24/2013,MAB,WMWR,E2,NA,NA,124,WMWR-I end (MDF),WMWR-I end (MAB),,,7:17,34.73512,-98.57405,20,10 to 20,7:52,34.72473,-98.57417,20,10 to 20,,,
125,6/24/2013,MAB,WMWR ,E1,NA,NA,125,WMWR-E end (MDF),WMWR-E end (MAB),,,8:06,34.72477,-98.58017,40,5 to 15,8:48,34.74169,-98.58014,40,5 to 15,,,
126,6/3/2013,MDF,Cimmaron Bluff WMA,CIMB-C,NA,NA,126,CIMB-C1,CIMB-C2,,,6:47,36.79803,-99.34174,75%,5 to 10,8:00,36.81494,-99.34183,50%,10 to 15,,,
127,6/3/2013,MDF,Cimmaron Bluff WMA,CIMB-D,NA,NA,127,CIMB-D1,CIMB-D2B,,,8:47,36.80504,-99.35366,30%,10 to 15,9:55,36.82676,-99.35385,40%,15 to 20,,,
128,6/4/2013,MDF,Cimmaron Hills WMA,CIMH-A,NA,NA,128,CIMH-A1,CIMH-A2,,,7:07,36.95102,-99.3602,80%,5 to 10,8:35,36.92408,-99.36005,50%,10 to 15,,,
129,6/4/2013,MDF,Cimmaron Hills WMA,CIMH-B,NA,NA,129,CIMH-B1,CIMH-B2,,,8:57,36.91968,-99.35989,10%,15 to 20,10:20,36.91963,-99.39519,0%,10 to 15,,,
130,5/29/2013,MDF,Hackberry Flats WMA,HACK-B,NA,NA,130,HACK-B start (MDF),HACK-B end (MDF),,,6:50,34.29306,-98.97556,100%,10 to 15,7:27,34.29286,-98.96438,90%,15-20,,,
131,5/29/2013,MDF,Hackberry Flats WMA,HACK-G,NA,NA,131,HACK-G start (MDF),HACK-G end (MDF),,,7:41,34.28777,-98.96685,90%,15-20,9:00,34.28769,-98.94085,90%,15-20,,,"KILL, HOLA"
132,6/4/2013,MDF,Hitch Switchgrass - Guymon,GUYS-A,NA,NA,132,GUYS-A1,GUYS-A2,no named points nearby,confirmed,19:41,36.62876,-101.34964,30%,10 to 15,20:06,36.62873,-101.35299,75%,15-20,,,"CONI, HOLA"
133,5/25/2013,MDF,Kessler Atmospheric and Ecological Field Station,KAEF-C,NA,NA,133,KAEF-C1,KAEF-C2,no named points nearby,confirmed,6:45,34.98603,-97.5228,30%,0-5,8:15,34.97889,-97.51948,25%,0-5,Multiple observer (incl. ESB + MAB),,
134,5/25/2013,MDF,Kessler Atmospheric and Ecological Field Station,KAEF-E,NA,NA,134,KAEF-E1,KAEF-E2a,no named points nearby,Extended a little further than in 2014.,8:24,34.97741,-97.51716,30%,0-5,9:25,34.98538,-97.52023,100%,5 to 10,Double-observer survey with MAB,,"AMKE, LASP, GRSP, OROR"
135,6/1/2013,MDF,Noble Foundation - Oswalt Road Ranch,OSWT-D,NA,NA,135,OSWT-D1,OSWT-D2,no named points nearby,confirmed,13:04,33.99313,-97.21419,100%,10 to 15,14:00,34.00881,-97.20889,90%,5 to 10,,"NOBO, GCFL","NOCA, DOWO, MODO"
136,6/1/2013,MDF,Noble Foundation - Oswalt Road Ranch,OSWT-E,NA,NA,136,OSWT-E1,OSWT-E2,no named points nearby,confirmed,15:04,34.00921,-97.19447,25%,0 to 5,15:25,34.00208,-97.19447,10%,5 to 10,,"WEVI, NOPA, DOWO, CACH, CARW",
137,6/7/2013,MDF,Packsaddle WMA,PACK-A,NA,NA,137,PACK-A1,PACK-A2,,,8:30,35.88662,-99.68826,10%,0-5,9:13,35.88828,-99.67474,0%,5 to 10,,,
138,6/7/2013,MDF,Packsaddle WMA,PACK-B,NA,NA,138,PACK-B1,PACK-B2,,,9:35,35.89507,-99.67764,0%,5 to 10,10:16,35.89442,-99.68922,0%,5 to 10,,,
139,7/9/2013,MDF,Tallgrass Prairie Preserve,TGPP-A,NA,NA,139,TGPP-N1,TGPP-N2,"Says A, but matches N",confirmed,6:34,36.87534,-96.42184,25%,5 to 10,8:05,36.87529,-96.43931,10%,5 to 10,,,
140,7/9/2013,MDF,Tallgrass Prairie Preserve,TGPP-B,NA,NA,140,TGPP-P1,TGPP-P2,"Says B, but matches P",confirmed,8:18,36.86795,-96.43936,10%,5 to 10,9:18,36.86931,-96.42085,5%,5 to 10,,,
143,6/24/2013,MDF,Wichita Mountains Wildlife Refuge,WMWR-A,NA,NA,143,WMWR-A start (MAB),WMWR-A end (MAB),,,6:45,34.69059,-98.70187,80%,10 to 15,7:45,34.69063,-98.68995,80%,10 to 15,,,
144,6/24/2013,MDF,Wichita Mountains Wildlife Refuge,WMWR-C,NA,NA,144,WMWR-C start (JGK),WMWR-C end (JGK),,,8:47,34.68921,-98.70521,50%,5 to 10,9:33,34.70449,-98.70433,45%,10 to 15,,,
141,5/27/2013,MDF,Wichita Mountains Wildlife Refuge,WMWR-E,NA,NA,141,WMWR-E end (MAB),WMWR-E end (MDF),,,6:36,34.74155,-98.58012,50%,20-25,7:27,34.72476,-98.58013,100%,25-30,,CONI,BLGR
145,6/24/2013,MDF,Wichita Mountains Wildlife Refuge,WMWR-F,NA,NA,145,WMWR-F start (MAB),WMWR-F end (MAB),,,7:52,34.69426,-98.69102,40%,0 to 5,8:30,34.69431,-98.70166,40%,0 to 5,,,
142,5/27/2013,MDF,Wichita Mountains Wildlife Refuge,WMWR-I,NA,NA,142,WMWR-I end (MAB),WMWR-I end (MDF),,,7:45,34.72475,-98.57418,100%,25-30,8:20,34.73515,-98.57417,100%,25-30,,,"PABU,LASP, GRSP, CAEG"
146,6/1/2013,MDF ,Noble Foundation - Red River Farm,REDR-A,NA,NA,146,REDR-A1b,REDR-A2b,"same as 61, 38, 39",offset from other transects 100m to north. Might need to account for detectibility overlap.,18:25,33.88691,-97.29121,30%,5 to 10,19:47,33.88663,-97.27824,0%,0 to 5,Johnsongrass ends at 19:14.  Wheat-like starts at 19:24. Switchgrass starts at 19:35,"FICR, GRSP(P)",
147,6/19/2014,Randy,Cimmaron Bluffs,D,NA,NA,147,CIMB-D1,CIMB-D2B,,,10:37,36.80504,-99.3538,10,10 to 15,11:55,36.82672,-99.35387,10,10 to 15,STARTED GETTING HOT,,
148,6/19/2014,Randy,Cimmaron Bluffs,G,NA,NA,148,CIMB-G1,CIMB-G2,,,9:40,36.7979,-99.348,0,5 to 10,10:22,36.80513,-99.34852,10,10 to 15,"SAW PRAIRIE FALCON PREVIOUS DAY, THEN AFTER TRANSECT ON THIS DAY TO THE NORTH OF END POINT",,PRFA
149,5/4/2014,Randy,Crosstimbers,B,NA,NA,149,XTIM-B1,XTIM-B2,offset from A1 and A2 plus only goes half way.,confirmed,8:10,33.94058,-97.36763,0,0 to 5,9:02,33.94857,-97.36753,0,5 to 10,,1st year PABU H/S,BAOR singing in Blackjack Oak
150,6/12/2014,Randy,Drummond Flats,E,NA,NA,150,DRMD-E1,DRMD-E2,,,10:26,36.30376,-98.05977,60,10 to 15,11:59,36.32546,-98.05982,90,15 to 20,"North wind , flooded fields allowing for Mallards to land",,
151,6/12/2014,Randy,Drummond Flats,F,NA,NA,151,DRMD-F1,DRMD-F2,,,12:18,36.32738,-98.06699,90,15 to 20,13:41,36.30388,-98.06875,80,15 to 20,"North wind, flooded fields, barren areas","BRTH,DICKRNEP,",
152,6/17/2014,Randy,Packsaddle,A,NA,NA,152,PACK-A2,PACK-A1,,,11:46,35.88828,-99.67474,0,15 to 20,12:30,35.88662,-99.68826,0,15 to 20,,,
153,6/17/2014,Randy,Packsaddle,B,NA,NA,153,PACK-B2,PACK-B1,,,10:43,35.89442,-99.68922,0,15 to 20,11:25,35.89507,-99.67764,0,15 to 20,,,FISP
154,6/4/2014,Randy,Tallgrass Prairie,E,NA,NA,154,TGPP-E1,TGPP-E2,,,9:19,36.80749,-96.46574,10,15 to 20,10:19,36.80724,-96.44801,30,15 to 20,,"LOSH, UPSA, STFL, DICK",
155,6/4/2014,Randy,Tallgrass Prairie,F,NA,NA,155,TGPP-F1,TGPP-F2,,,6:32,36.81426,-96.43803,50,15 to 20,8:42,36.8148,-96.47475,10,15 to 20,,"EAME,GRSP,NOBO,DICK",
156,5/18/2014,Randy,WMWR,1,NA,NA,156,WMWR-E end (MAB),WMWR-E end (MDF),,,9:02,34.74169,-98.58014,60,5 to 10,10:49,34.72477,-98.58017,40,10 to 15,"As I approached road, the traffic muffled ability to hear","PABU,EAME,EAPH,STFL,NOBOSUTA",YEWA
157,6/19/2014,Roy,Cimmaron Bluffs,C,NA,NA,157,CIMB-C2,CIMB-C1,,,10:34,36.81494,-99.34183,10,10 to 15,11:32,36.79803,-99.34174,10,0 to 5,,,
158,6/19/2014,Roy,Cimmaron Bluffs,F,NA,NA,158,CIMB-F2,CIMB-F1,,,8:32,36.84124,-99.33714,10,5 to 10,10:15,36.81684,-99.33714,10,10 to 15,,,
159,5/9/2014,Roy,Hackberry Flat,F,NA,NA,159,HACK-F start (JBT),HACK-F end (JBT),,,7:55,34.2977,-98.96552,0,5 to 10,9:02,34.31234,-98.96558,0,5 to 10,,"BAOR, NOBO",DICK
160,5/30/2014,Roy,Rita Blanca NG,A,NA,NA,160,RBNG-A1,RBNG-A2,,,7:58,36.53053,-102.71445,60,5 to 10,9:25,36.50849,-102.71449,40,10 to 15,,,
161,5/30/2014,Roy,Rita Blanca NG,B,NA,NA,161,RBNG-B1,RBNG-B2,Presumably this is a mistake because both same (checked datasheet) and one should be RBNG-B1.,"Probably. It would have been impossible for him to do it the other direction, provided where transect A finishes.",9:38,36.50898,-102.70658,40,10 to 15,10:48,36.5306,-102.70649,40,10 to 15,,,
162,6/4/2014,Roy,Tallgrass Prairie,I,NA,NA,162,TGPP-I1,TGPP-I3,,,6:38,36.84534,-96.4518,40,15 to 20,8:29,36.84324,-96.47694,20,20+,,,
163,6/4/2014,Roy,Tallgrass Prairie,J,NA,NA,163,TGPP-J1,TGPP-J2,,,9:04,36.85189,-96.48306,10,15 to 20,11:41,36.85114,-96.43522,40,10 to 15,,,
164,6/5/2014,Roy,Tallgrass Prairie,N,NA,NA,164,TGPP-N1,TGPP-N1.5,points south almost to Skiatook Lake,"Looks like he wrote down lat/lon minutes as the decimals of degrees (i.e., 96?25.31' as 95.2531?",6:28,36.87533,-96.42183,80,15 to 20,7:25,36.87475,-96.42725,100,20+,Transect ceased early due to thunderstorm,,
165,5/16/2014,Tory,Cimmaron Bluffs,D,NA,NA,165,CIMB-D1,CIMB-D2,double observer?,"Yes, use data from JDR",8:42,36.80503,-99.35384,70,0 to 5,11:20,36.84124,-99.35415,10,5 to 10,"EAKI,LASP (before count)",,
166,5/16/2014,Tory,Cimmaron Bluffs,G,NA,NA,166,CIMB-G1,CIMB-G2,"use points from other double observer?  166End is west across highway, probably misplaced.","Yes, use data from JDR",7:43,36.7979,-99.34843,40,0 to 5,8:10,36.80513,-99.3852,50,0 to 5,,,
167,6/2/2014,Tory,Optima,A,NA,NA,167,OPTM-A1,OPTM-A2,,,6:49,36.63807,-101.20883,50,5 to 10,9:45,36.62152,-101.2375,100,10 to 15,,STFL,BHCO
